text,label
Word1: Sad Word2: clock,false
Word1: Smooth Word2: rough,false
Word1: Finish Word2: complete,true
Word1: Fast Word2: green,false
Word1: Honest Word2: truthful,true
Word1: Narrow Word2: wide,false
Word1: Small Word2: tiny,true
Word1: Capture Word2: release,false
Word1: Day Word2: night,false
Word1: Dark Word2: dim,true
Word1: Angry Word2: mad,true
Word1: Major Word2: minor,false
Word1: Easy Word2: difficult,false
Word1: Beautiful Word2: ugly,false
Word1: Angry Word2: irate,true
Word1: Tired Word2: exhausted,true
Word1: Easy Word2: simple,true
Word1: Optimistic Word2: pessimistic,false
Word1: Begin Word2: commence,true
Word1: Rich Word2: wealthy,true
Word1: Young Word2: youthful,true
Word1: Love Word2: adore,true
Word1: Private Word2: public,false
Word1: Strong Word2: sturdy,true
Word1: Begin Word2: start,true
Word1: Sad Word2: unhappy,true
Word1: Scared Word2: frightened,true
Word1: Far Word2: distant,true
Word1: Dirty Word2: messy,true
Word1: Strong Word2: weak,false
Word1: Important Word2: essential,true
Word1: Colour Word2: purple,false
Word1: Hate Word2: detest,true
Word1: Apple Word2: book,false
Word1: Light Word2: sandwich,false
Word1: Mountain Word2: spoon,false
Word1: Strong Word2: powerful,true
Word1: Jump Word2: leap,true
Word1: Sharp Word2: blunt,false
Word1: Happy Word2: spoon,false
Word1: Clean Word2: tidy,true
Word1: Accept Word2: reject,false
Word1: Fish Word2: bookcase,false
Word1: Full Word2: empty,false
Word1: Success Word2: failure,false
Word1: Old Word2: ancient,true
Word1: End Word2: finish,true
Word1: Car Word2: banana,false
Word1: Help Word2: assist,true
Word1: Protect Word2: attack,false
Word1: Cold Word2: chilly,true
Word1: Happy Word2: sad,false
Word1: Bright Word2: dull,false
Word1: Scared Word2: afraid,true
Word1: Present Word2: absent,false
Word1: Honest Word2: blanket,false
Word1: Cold Word2: hot,false
Word1: Thin Word2: slim,true
Word1: Big Word2: huge,true
Word1: Loud Word2: noisy,true
Word1: Baby Word2: car,false
Word1: Happy Word2: joyful,true
Word1: Sky Word2: music,false
