Iteration,Input,Response
1,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
2,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
3,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
4,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
5,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
6,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
7,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
8,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
9,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
10,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Incorrect']
