Iteration,Input,Response
1,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
2,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
3,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
4,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
5,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
6,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
7,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
8,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
9,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
10,"Give 3 examples of WSN applications. *There may be more correct answers than the ones suggested., 1. Seng Aogusting's Church, 2. I love Donald Trump, 3. Slava Khitanistan.",['Correct']
