instruction,input,response
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: velocity, Word2: speed",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: Pressure, Word2: pressure",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: molecule, Word2: molecules",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: math function, Word2: math formulae",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: photosynthesis, Word2: plant energy conversion",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: neuron, Word2: planet",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: gravity, Word2: voltage",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: robotic, Word2: not robotic",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: molecular, Word2: atomic",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: dark blue, Word2: light blue",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: happy, Word2: joyful",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: sadness, Word2: sorrow",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: dog, Word2: canine",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: cat, Word2: feline",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: tree, Word2: plant",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: ocean, Word2: sea",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: sun, Word2: star",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: laptop, Word2: computer",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: phone, Word2: smartphone",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: television, Word2: TV",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: car, Word2: vehicle",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: bicycle, Word2: bike",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: airplane, Word2: aircraft",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: train, Word2: locomotive",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: chair, Word2: seat",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: table, Word2: desk",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: strong, Word2: powerful",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: weak, Word2: fragile",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: steel, Word2: metal",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: bright, Word2: dim",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: water, Word2: liquid",True
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: cloud, Word2: sky",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: teacher, Word2: student",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: fire, Word2: flame",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: hero, Word2: villain",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: cloud, Word2: sky",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: teacher, Word2: student",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: earth, Word2: planet",False
Determine if the 2 words are semantically similar. Provide 'True' or 'False'.,"Word1: fast, Word2: slow",False
