id,createdAt,updatedAt,deletedAt,evaluationFunctionId,partId,gradeParams,postResponseText,preResponseText,displayInputSymbols,livePreview,position,includeInPdf,universalResponseAreaId,contentAfter,separateFeedback,commonFeedbackColor,correctFeedbackColor,correctFeedbackPrefix,incorrectFeedbackColor,incorrectFeedbackPrefix,id,createdAt,updatedAt,deletedAt,name,url,userId,paramsSchema,remoteDocsUrl,includeDefaultTest,documentationContent
5a979ef5-fce8-420f-add3-41a516ca2521,2024-10-11 13:46:23.414,2024-10-11 13:46:23.414,,66100e1c-1cff-4597-8be0-66d9f98cec5d,78595b6b-0a49-4a4b-9c1f-589dd93bbca1,,,,False,False,0,False,c20a6643-5c10-4062-aeca-ff2d89238730,,True,#C4CDD5,#22C55E,Correct,#FF5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
5af46cfd-1fc1-411e-a756-3dbd528a9d95,2024-07-16 11:44:14.582,2024-07-16 11:44:14.582,,66100e1c-1cff-4597-8be0-66d9f98cec5d,8b65d90d-4e69-4b64-ab89-4e94e6db7d92,,,T to E,False,False,4,False,ca211b50-bd1e-41cd-bc12-7ded421d8c96,,True,#C4CDD5,#22C55E,Correct,#ff5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
a3daf8b1-dde5-46bc-b400-1fa561db21ea,2024-07-19 17:06:15.718,2024-07-19 17:06:15.718,,66100e1c-1cff-4597-8be0-66d9f98cec5d,d3e3503f-ef04-484b-810d-cfcb005417c2,,,t to e,False,False,4,False,ca211b50-bd1e-41cd-bc12-7ded421d8c96,,True,#C4CDD5,#22C55E,Correct,#ff5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
cd069e76-e2e3-4c6e-80ba-84287ac6d4f3,2024-10-08 11:19:44.377,2024-10-08 11:19:44.377,,66100e1c-1cff-4597-8be0-66d9f98cec5d,786e5b8c-2645-4614-a0cf-628e856fb1a4,,,,False,False,1,False,516a6eb1-91a0-4bca-8a4a-6a3ebc40fd49,,True,#C4CDD5,#22C55E,Correct,#ff5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
536bbd35-2666-4037-bdad-80e14a6a72b1,2024-10-08 11:19:44.377,2024-10-08 11:19:44.377,,66100e1c-1cff-4597-8be0-66d9f98cec5d,786e5b8c-2645-4614-a0cf-628e856fb1a4,,,,False,False,0,False,2cfe40ee-89e7-4850-a349-343fcecd1fe8,,True,#C4CDD5,#22C55E,Correct,#ff5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
4d9faf73-01f9-4dcc-ab5c-c1ca738fb1f2,2024-10-08 11:20:01.071,2024-10-08 11:20:01.071,,66100e1c-1cff-4597-8be0-66d9f98cec5d,4633d18f-1957-45a9-b075-dbb4c7571708,,monitoring,,False,False,2,False,b3595544-a7b7-46d9-87d9-2c1982a776f2,,True,#C4CDD5,#22C55E,Correct,#ff5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
e4c80165-8aeb-45f4-8095-b96ccf23146f,2024-10-08 11:20:01.071,2024-10-08 11:20:01.071,,66100e1c-1cff-4597-8be0-66d9f98cec5d,4633d18f-1957-45a9-b075-dbb4c7571708,,monitoring,,False,False,1,False,8ab6d9e9-8a9d-4b49-8976-6e51d7884228,,True,#C4CDD5,#22C55E,Correct,#ff5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
3d07c7dc-3222-4ba5-91ff-fc21bd732ae6,2024-10-08 11:20:01.071,2024-10-08 11:20:01.071,,66100e1c-1cff-4597-8be0-66d9f98cec5d,4633d18f-1957-45a9-b075-dbb4c7571708,,monitoring,,False,False,0,False,1fe69aa3-d865-47ed-b8b8-fd88020d790e,,True,#C4CDD5,#22C55E,Correct,#ff5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
c79c690b-988c-4ff8-b599-368b86e30d1b,2024-10-08 11:19:32.507,2024-10-08 11:19:32.507,,66100e1c-1cff-4597-8be0-66d9f98cec5d,bb216c51-43b9-4a32-be0e-78d81a229f1b,,,,False,False,2,False,97b15a93-034d-415e-aecf-47d063ec3600,,True,#C4CDD5,#22C55E,Correct,#ff5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
884951c4-1b5b-4848-ae0a-66b5009e7d06,2024-10-08 11:19:32.507,2024-10-08 11:19:32.507,,66100e1c-1cff-4597-8be0-66d9f98cec5d,bb216c51-43b9-4a32-be0e-78d81a229f1b,,,,False,False,1,False,d6ef91a8-9961-4e73-882f-df7f17fe7fb9,,True,#C4CDD5,#22C55E,Correct,#ff5630,Incorrect,66100e1c-1cff-4597-8be0-66d9f98cec5d,2023-02-08 16:25:39.801,2023-02-08 16:30:02.354,,shortTextAnswer,https://c1o0u8se7b.execute-api.eu-west-2.amazonaws.com/default/shortTextAnswer,6b9e4db4-ee6c-49cc-b9bc-e4504c74766f,,,True,"Experimental function for comparing short text answers
"
